subject,phase,trial,click_idx,click_time_s,matched_tap_time_s,matched_tap_idx,asynchrony_s,rms_db,asynchrony_ms,missed_beat,accented,condition,meter,bpm,switch_time,low_confidence_trial
sub04,test,14,43,22.463270833333333,22.427854166666666,43.0,-0.03541666666666643,52.35461589729141,-35.41666666666643,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,44,22.980520833333333,22.950541666666666,44.0,-0.029979166666667112,27.858768082636374,-29.979166666667112,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,45,23.497770833333334,23.470770833333333,45.0,-0.027000000000001023,50.902035936576056,-27.000000000001023,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,46,24.015020833333335,23.966895833333332,46.0,-0.048125000000002416,35.423906210750424,-48.125000000002416,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,47,24.53227083333333,24.471166666666665,47.0,-0.061104166666666515,51.388290444915334,-61.104166666666515,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,48,25.049520833333332,24.988416666666666,48.0,-0.061104166666666515,28.434655094786425,-61.104166666666515,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,49,25.566770833333333,25.499916666666667,49.0,-0.06685416666666555,49.779795699333775,-66.85416666666555,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,50,26.084020833333334,25.9715,50.0,-0.11252083333333474,26.400125754773974,-112.52083333333474,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,51,26.602416666666667,26.545333333333332,51.0,-0.05708333333333471,47.51828394380386,-57.08333333333471,False,1.0,spontaneous,3,116.0,0,True
sub04,test,14,52,27.118520833333335,27.091916666666666,52.0,-0.02660416666666876,18.56946956020215,-26.60416666666876,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,53,27.635770833333332,27.545166666666667,53.0,-0.09060416666666526,39.895164659276745,-90.60416666666526,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,54,28.153020833333333,28.104020833333333,54.0,-0.04899999999999949,26.172384908821293,-48.99999999999949,False,0.0,spontaneous,3,116.0,0,True
sub04,test,14,55,28.670270833333333,28.5968125,55.0,-0.07345833333333474,49.711949587558635,-73.45833333333474,False,1.0,spontaneous,3,116.0,0,True
